Index,Seed,Level,Model,Command,DurationSeconds
375,9,open-divider_salad,greedy,"python main.py --num-agents 2 --seed 9 --level open-divider_salad --model1 greedy --model2 greedy --record   --max-num-timesteps 1",20.2
372,9,open-divider_salad,dc,"python main.py --num-agents 2 --seed 9 --level open-divider_salad --model1 dc --model2 dc --record   --max-num-timesteps 1",26.8
377,9,full-divider_tomato,dc,"python main.py --num-agents 2 --seed 9 --level full-divider_tomato --model1 dc --model2 dc --record   --max-num-timesteps 1",42.7
376,9,full-divider_tomato,bd,"python main.py --num-agents 2 --seed 9 --level full-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",58.2
356,8,open-divider_tl,bd,"python main.py --num-agents 2 --seed 8 --level open-divider_tl --model1 bd --model2 bd --record   --max-num-timesteps 1",266.8
380,9,full-divider_tomato,greedy,"python main.py --num-agents 2 --seed 9 --level full-divider_tomato --model1 greedy --model2 greedy --record   --max-num-timesteps 1",20.1
378,9,full-divider_tomato,fb,"python main.py --num-agents 2 --seed 9 --level full-divider_tomato --model1 fb --model2 fb --record   --max-num-timesteps 1",65.8
358,8,open-divider_tl,fb,"python main.py --num-agents 2 --seed 8 --level open-divider_tl --model1 fb --model2 fb --record   --max-num-timesteps 1",281.0
366,9,partial-divider_salad,bd,"python main.py --num-agents 2 --seed 9 --level partial-divider_salad --model1 bd --model2 bd --record   --max-num-timesteps 1",208.9
385,9,partial-divider_tomato,greedy,"python main.py --num-agents 2 --seed 9 --level partial-divider_tomato --model1 greedy --model2 greedy --record   --max-num-timesteps 1",29.8
384,9,partial-divider_tomato,up,"python main.py --num-agents 2 --seed 9 --level partial-divider_tomato --model1 up --model2 up --record   --max-num-timesteps 1",40.2
368,9,partial-divider_salad,fb,"python main.py --num-agents 2 --seed 9 --level partial-divider_salad --model1 fb --model2 fb --record   --max-num-timesteps 1",203.3
387,9,open-divider_tomato,dc,"python main.py --num-agents 2 --seed 9 --level open-divider_tomato --model1 dc --model2 dc --record   --max-num-timesteps 1",14.6
389,9,open-divider_tomato,up,"python main.py --num-agents 2 --seed 9 --level open-divider_tomato --model1 up --model2 up --record   --max-num-timesteps 1",13.2
390,9,open-divider_tomato,greedy,"python main.py --num-agents 2 --seed 9 --level open-divider_tomato --model1 greedy --model2 greedy --record   --max-num-timesteps 1",9.2
379,9,full-divider_tomato,up,"python main.py --num-agents 2 --seed 9 --level full-divider_tomato --model1 up --model2 up --record   --max-num-timesteps 1",118.3
392,9,full-divider_tl,dc,"python main.py --num-agents 2 --seed 9 --level full-divider_tl --model1 dc --model2 dc --record   --max-num-timesteps 1",7.5
354,8,partial-divider_tl,up,"python main.py --num-agents 2 --seed 8 --level partial-divider_tl --model1 up --model2 up --record   --max-num-timesteps 1",415.3
371,9,open-divider_salad,bd,"python main.py --num-agents 2 --seed 9 --level open-divider_salad --model1 bd --model2 bd --record   --max-num-timesteps 1",228.4
381,9,partial-divider_tomato,bd,"python main.py --num-agents 2 --seed 9 --level partial-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",142.5
383,9,partial-divider_tomato,fb,"python main.py --num-agents 2 --seed 9 --level partial-divider_tomato --model1 fb --model2 fb --record   --max-num-timesteps 1",140.5
395,9,full-divider_tl,greedy,"python main.py --num-agents 2 --seed 9 --level full-divider_tl --model1 greedy --model2 greedy --record   --max-num-timesteps 1",28.0
391,9,full-divider_tl,bd,"python main.py --num-agents 2 --seed 9 --level full-divider_tl --model1 bd --model2 bd --record   --max-num-timesteps 1",85.3
386,9,open-divider_tomato,bd,"python main.py --num-agents 2 --seed 9 --level open-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",123.0
397,9,partial-divider_tl,dc,"python main.py --num-agents 2 --seed 9 --level partial-divider_tl --model1 dc --model2 dc --record   --max-num-timesteps 1",47.1
388,9,open-divider_tomato,fb,"python main.py --num-agents 2 --seed 9 --level open-divider_tomato --model1 fb --model2 fb --record   --max-num-timesteps 1",138.7
399,9,partial-divider_tl,up,"python main.py --num-agents 2 --seed 9 --level partial-divider_tl --model1 up --model2 up --record   --max-num-timesteps 1",30.0
400,9,partial-divider_tl,greedy,"python main.py --num-agents 2 --seed 9 --level partial-divider_tl --model1 greedy --model2 greedy --record   --max-num-timesteps 1",34.9
373,9,open-divider_salad,fb,"python main.py --num-agents 2 --seed 9 --level open-divider_salad --model1 fb --model2 fb --record   --max-num-timesteps 1",307.7
394,9,full-divider_tl,up,"python main.py --num-agents 2 --seed 9 --level full-divider_tl --model1 up --model2 up --record   --max-num-timesteps 1",90.6
404,9,open-divider_tl,up,"python main.py --num-agents 2 --seed 9 --level open-divider_tl --model1 up --model2 up --record   --max-num-timesteps 1",6.2
402,9,open-divider_tl,dc,"python main.py --num-agents 2 --seed 9 --level open-divider_tl --model1 dc --model2 dc --record   --max-num-timesteps 1",17.6
405,9,open-divider_tl,greedy,"python main.py --num-agents 2 --seed 9 --level open-divider_tl --model1 greedy --model2 greedy --record   --max-num-timesteps 1",10.7
393,9,full-divider_tl,fb,"python main.py --num-agents 2 --seed 9 --level full-divider_tl --model1 fb --model2 fb --record   --max-num-timesteps 1",134.4
396,9,partial-divider_tl,bd,"python main.py --num-agents 2 --seed 9 --level partial-divider_tl --model1 bd --model2 bd --record   --max-num-timesteps 1",138.5
398,9,partial-divider_tl,fb,"python main.py --num-agents 2 --seed 9 --level partial-divider_tl --model1 fb --model2 fb --record   --max-num-timesteps 1",133.4
382,9,partial-divider_tomato,dc,"python main.py --num-agents 2 --seed 9 --level partial-divider_tomato --model1 dc --model2 dc --record   --max-num-timesteps 1",305.1
401,9,open-divider_tl,bd,"python main.py --num-agents 2 --seed 9 --level open-divider_tl --model1 bd --model2 bd --record   --max-num-timesteps 1",125.9
403,9,open-divider_tl,fb,"python main.py --num-agents 2 --seed 9 --level open-divider_tl --model1 fb --model2 fb --record   --max-num-timesteps 1",114.7
4,1,full-divider_tomato,bd,"python main.py --num-agents 2 --seed 1 --level full-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",42.5
4,1,full-divider_tomato,bd,"python main.py --num-agents 2 --seed 1 --level full-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",111.0
33.0
1,1,full-divider_salad,bd,"python main.py --num-agents 2 --seed 1 --level full-divider_salad --model1 bd --model2 bd --record   --max-num-timesteps 1",185.0
6,1,open-divider_tomato,bd,"python main.py --num-agents 2 --seed 1 --level open-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",202.7
14,2,partial-divider_tomato,bd,"python main.py --num-agents 2 --seed 2 --level partial-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",201.4
2,1,partial-divider_salad,bd,"python main.py --num-agents 2 --seed 1 --level partial-divider_salad --model1 bd --model2 bd --record   --max-num-timesteps 1",233.2
22,3,full-divider_tomato,bd,"python main.py --num-agents 2 --seed 3 --level full-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",247.7
10,2,full-divider_salad,bd,"python main.py --num-agents 2 --seed 2 --level full-divider_salad --model1 bd --model2 bd --record   --max-num-timesteps 1",251.7
23,3,partial-divider_tomato,bd,"python main.py --num-agents 2 --seed 3 --level partial-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",286.2
17,2,partial-divider_tl,bd,"python main.py --num-agents 2 --seed 2 --level partial-divider_tl --model1 bd --model2 bd --record   --max-num-timesteps 1",278.5
19,3,full-divider_salad,bd,"python main.py --num-agents 2 --seed 3 --level full-divider_salad --model1 bd --model2 bd --record   --max-num-timesteps 1",304.4
25,3,full-divider_tl,bd,"python main.py --num-agents 2 --seed 3 --level full-divider_tl --model1 bd --model2 bd --record   --max-num-timesteps 1",337.8
s 1",338.7
33,4,open-divider_tomato,bd,"python main.py --num-agents 2 --seed 4 --level open-divider_tomato --model1 bd --model2 bd --record   --max-num-timesteps 1",192.2
34,4,full-divider_tl,bd,"python main.py --num-agents 2 --seed 4 --level full-divider_tl --model1 bd --model2 bd --record   --max-num-timesteps 1",162.3
28,4,full-divider_salad,bd,"python main.py --num-agents 2 --seed 4 --level full-divider_salad --model1 bd --model2 bd --record   --max-num-timesteps 1",235.4
